#;arr;bsr;csc;csr;has_cycles
16;0.001189;0.001305;0.000865;0.000906;1
16;0.001136;0.000924;0.000853;0.000853;1
16;0.001005;0.000885;0.000835;0.000824;1
16;0.001009;0.000958;0.000884;0.000860;0
49;0.001907;0.001308;0.002400;0.002360;0
49;0.001759;0.001541;0.001340;0.001401;1
49;0.002362;0.001421;0.001531;0.001300;0
49;0.002262;0.001410;0.001284;0.001390;0
121;0.002561;0.001886;0.001804;0.001781;0
121;0.002301;0.001740;0.001597;0.002391;0
121;0.002692;0.002742;0.001880;0.001883;1
121;0.002449;0.001323;0.001847;0.001797;0
256;0.002336;0.001299;0.001315;0.001601;0
256;0.001789;0.002148;0.001621;0.001533;0
256;0.002014;0.001878;0.001762;0.001808;1
256;0.002322;0.001397;0.001189;0.002087;0
529;0.002894;0.002117;0.001614;0.002807;0
529;0.002188;0.002485;0.001765;0.001971;0
529;0.002533;0.002886;0.002100;0.001818;0
529;0.002453;0.002100;0.002916;0.001887;0
900;0.004209;0.002219;0.002598;0.002401;1
900;0.003713;0.003182;0.002683;0.002406;0
900;0.002919;0.002221;0.002222;0.002351;0
900;0.003470;0.003898;0.002486;0.002546;1
1600;0.003751;0.002756;0.002613;0.002270;1
1600;0.003443;0.002775;0.002772;0.002701;1
1600;0.003356;0.003013;0.002771;0.002930;1
1600;0.003551;0.002530;0.002293;0.002575;0
2500;0.004763;0.003262;0.003540;0.002795;0
2500;0.004563;0.004265;0.003769;0.003707;1
2500;0.004177;0.004116;0.003430;0.003376;0
2500;0.004068;0.003355;0.003479;0.003909;0
3844;0.005048;0.004664;0.003398;0.004436;0
3844;0.005559;0.003810;0.004330;0.003586;0
3844;0.006791;0.004438;0.004797;0.003053;0
3844;0.011353;0.004871;0.004216;0.003950;0
5776;0.006796;0.005155;0.005540;0.004434;0
5776;0.005897;0.005404;0.005737;0.004605;0
5776;0.006810;0.004577;0.005139;0.005048;0
5776;0.005579;0.005341;0.004961;0.005000;0
8464;0.008963;0.007731;0.006916;0.006992;1
8464;0.007436;0.006389;0.005621;0.004953;1
8464;0.006672;0.005134;0.006070;0.004599;0
8464;0.005985;0.005089;0.005146;0.005694;0
11881;0.016673;0.012642;0.012757;0.011226;1
11881;0.011670;0.008547;0.009237;0.007172;0
11881;0.010953;0.009268;0.008992;0.007626;0
11881;0.012427;0.009436;0.010168;0.009166;1
16384;0.007361;0.008088;0.007564;0.006453;0
16384;0.189021;0.191970;0.181403;0.184493;1
16384;0.007533;0.007483;0.007638;0.007124;0
16384;0.006894;0.007671;0.007414;0.006567;0
22201;0.018949;0.013096;0.013967;0.011650;0
22201;0.018881;0.014224;0.014560;0.012633;0
22201;0.024602;0.019127;0.019018;0.018012;1
22201;0.018142;0.012706;0.015130;0.011794;0
29584;0.022958;0.017997;0.018428;0.015726;0
29584;0.022057;0.017660;0.017203;0.015515;0
29584;0.023552;0.018151;0.018517;0.015011;0
29584;0.024216;0.021147;0.021206;0.019269;1
38809;0.039310;0.029464;0.030614;0.027930;1
38809;0.030660;0.022575;0.023984;0.021449;0
38809;0.030835;0.023346;0.023900;0.020105;0
38809;0.033985;0.024872;0.026082;0.021859;0
50176;12.651567;12.973501;21.834681;12.747056;1
50176;0.030361;0.027609;0.028944;0.025102;0
50176;0.028177;0.024476;0.025854;0.022918;0
50176;0.030011;0.025598;0.026722;0.023747;0
64009;0.074620;0.057884;0.062060;0.060363;1
64009;0.067998;0.054847;0.054257;0.052329;1
64009;0.078835;0.064188;0.069993;0.064153;1
64009;0.063875;0.045609;0.050903;0.042266;0
80656;0.111141;0.095802;0.093136;0.094085;1
80656;0.083030;0.065531;0.066533;0.062845;0
80656;0.085228;0.070541;0.075973;0.069199;0
80656;0.080293;0.072734;0.068709;0.064030;0
100489;1128.517360;1239.904037;1978.000674;1164.161413;1
100489;0.102704;0.086655;0.080514;0.084680;0
100489;0.104005;0.085136;0.081255;0.085469;0
100489;0.098000;0.088437;0.077074;0.086240;0
124609;0.184986;0.161632;0.158025;0.162542;0
124609;0.206327;0.163993;0.147346;0.157583;0
124609;0.185113;0.150424;0.138623;0.147005;0
124609;0.193632;0.156393;0.141700;0.148431;0
